xstart,xend,ystart,yend
4763.287418841747,6729.6328680978695,4762.958845913307,1088.5252730173206
4762.958845913307,1088.5252730173206,4649.551480761803,4855.678278755806
4649.551480761803,4855.678278755806,3791.7600039458644,4938.992267112007
3791.7600039458644,4938.992267112007,4658.3884724634445,6865.642572177971
4658.3884724634445,6865.642572177971,1075.9987380685884,4875.2548550788215
1075.9987380685884,4875.2548550788215,4655.657348869751,4742.9925658027405
4655.657348869751,4742.9925658027405,11845.665101538569,1170.1690490905453
11845.665101538569,1170.1690490905453,4891.244346959953,3001.89745797636
4891.244346959953,3001.89745797636,4655.794001605448,3047.2591965419583
4655.794001605448,3047.2591965419583,4523.415183490299,6852.188175780921
4,1,1,1
4523.415183490299,6852.188175780921,5496.796675789863,6028.651474958792
5496.796675789863,6028.651474958792,5497.201547568711,1084.7481005426826
5497.201547568711,1084.7481005426826,5352.876374612723,5555.77307021963
5352.876374612723,5555.77307021963,4525.772765984475,5688.1640759088405
4525.772765984475,5688.1640759088405,5357.322589960579,7565.678932678573
5357.322589960579,7565.678932678573,1122.2315228136422,5575.367575925529
1122.2315228136422,5575.367575925529,3922.274628859907,5456.293526409778
3922.274628859907,5456.293526409778,4051.558041874609,1659.4524373071977
4051.558041874609,1659.4524373071977,11112.138210668467,2937.079453284954
11112.138210668467,2937.079453284954,11112.38691397961,1111.354847105833
11112.38691397961,1111.354847105833,4080.3122580419167,2301.5423131641583
4080.3122580419167,2301.5423131641583,3922.6634810411233,2358.590142974909
3922.6634810411233,2358.590142974909,3811.124144570746,6151.964872144548
5,1,1,1
3811.124144570746,6151.964872144548,6033.097400837557,5527.784287450345
6033.097400837557,5527.784287450345,6032.84837307895,1107.6719721959557
6032.84837307895,1107.6719721959557,5922.675062348026,6057.9278593646295
5922.675062348026,6057.9278593646295,5061.42531749121,6170.633364534892
5061.42531749121,6170.633364534892,5907.770963950911,8068.225319371218
5907.770963950911,8068.225319371218,1088.7737199219762,6078.224121349038
1088.7737199219762,6078.224121349038,3386.5249080443655,6048.321984905859
3386.5249080443655,6048.321984905859,3430.594301473188,2161.829308309127
3430.594301473188,2161.829308309127,10576.617763776081,5035.102998255239
10576.617763776081,5035.102998255239,10576.118697704322,1129.9218514249314
10576.118697704322,1129.9218514249314,3617.7201614358814,1799.1934411718494
3617.7201614358814,1799.1934411718494,3386.026087546787,1853.2499689693354
3386.026087546787,1853.2499689693354,3312.829644175685,5649.523420418717
6,1,1,1
3312.829644175685,5649.523420418717,7201.363355025907,5537.284269135208
7201.363355025907,5537.284269135208,7201.175833364547,1101.1053099274125
7201.175833364547,1101.1053099274125,7009.826135452532,6057.96548244763
7009.826135452532,6057.96548244763,6230.085038874757,6195.439777933956
